title,totalTime,ingredients,instructions,image
Easy Chicken Flautas,50,"['1/4 cup butter', '1/4 cup all-purpose flour', '1/4 cup minced onion', '1/4 cup chopped black olives', '2 tablespoons lemon juice', '1 tablespoon oil', '1/4 teaspoon ground paprika', '1/8 teaspoon ground black pepper', '1/8 teaspoon salt', '1 1/2 cups cooked shredded chicken', '8 flour tortillas', 'oil for frying, or as needed', 'toothpicks']","Melt butter in a skillet over medium heat; stir flour into butter until smooth. Add onion to flour-butter mixture; cook and stir until onion is softened, 5 to 10 minutes. Mix black olives, lemon juice, oil, paprika, black pepper, and salt into onion mixture; cook and stir until heated through, about 2 minutes. Stir chicken into mixture and remove skillet from heat and cover.
Heat oil in a large, heavy saucepan or deep-fryer.
Fill tortillas with chicken mixture. Roll tortilla around filling and secure with a toothpick.
Fry the rolled tortillas, working in batches, in the hot oil until browned, about 2 minutes. Transfer fried tortillas to a paper towel-lined plate using a slotted spoon or tongs.
",https://images.media-allrecipes.com/userphotos/250x250/2251133.jpg
Easy Mexican Sopes,25,"['3 cups masa harina', '1 tablespoon salt', '2 cups warm water, or as needed', '1 quart oil for frying']","Whisk masa harina and salt together; stir enough water into mixture until dough is smooth and holds together. Form dough into 2-inch balls. Flatten each ball to a 1/2-inch thick circle.
Heat oil to 400 degrees F (200 degrees C) in a deep-fryer or large saucepan.
Fry dough in the hot oil until sopes are just lightly browned, about 30 seconds per side. Remove sopes with tongs and place on a paper towel-lined plate; cool just until sopes can be handled. Pinch the edges of each sope together forming little 'boats'. Return to hot oil and fry until golden and cooked through, 1 to 2 minutes.
",https://images.media-allrecipes.com/userphotos/250x250/1100128.jpg
Chef John's Red Beans and Rice,225,"['1 pound dry red kidney beans', '1 tablespoon vegetable oil', '12 ounces andouille sausage, diced', '1 cup finely diced onion', '3/4 cup chopped celery', '3/4 cup poblano peppers', '4 cloves garlic, minced', '2 quarts chicken broth, or more as needed', '1 smoked ham hock', '2 bay leaves', '1 teaspoon freshly ground black pepper', '1 teaspoon dried thyme', '1/2 teaspoon cayenne pepper, or to taste', 'hot sauce to taste', '4 cups cooked white rice', '2 tablespoons chopped green onion, or to taste']","Place beans in a large container and cover with several inches of cool water; let stand 8 hours to overnight. Drain and rinse.
Heat vegetable oil in a large pot over medium heat. Cook and stir sausage in hot oil until oils slightly release from sausage and edges brown, 5 to 7 minutes. Stir onion, celery, and poblano pepper into sausage; cook and stir until vegetables soften and start to turn translucent, 5 to 10 minutes. Stir garlic into sausage mixture; cook and stir until fragrant, about 1 minute.
Stir red beans, chicken broth, ham hock, bay leaves, black pepper, thyme, cayenne pepper, and hot sauce into the sausage mixture; bring to a boil, reduce heat to low, and simmer gently, stirring occasionally, for 1 1/2 hours. Add salt and continue simmering until beans are soft, meat is tender, and desired consistency is reached, 1 1/2 to 2 hours more. Season with salt.
Spoon rice into bowls, ladle red beans mixture over rice, and top with green onion.
",https://images.media-allrecipes.com/images/74163.jpg?width=170&height=96
Fresh Southern Peach Cobbler,60,"['8 fresh peaches - peeled, pitted and sliced into thin wedges', '1/4 cup white sugar', '1/4 cup brown sugar', '1/4 teaspoon ground cinnamon', '1/8 teaspoon ground nutmeg', '1 teaspoon fresh lemon juice', '2 teaspoons cornstarch', '1 cup all-purpose flour', '1/4 cup white sugar', '1/4 cup brown sugar', '1 teaspoon baking powder', '1/2 teaspoon salt', '6 tablespoons unsalted butter, chilled and cut into small pieces', '1/4 cup boiling water', 'MIX TOGETHER:', '3 tablespoons white sugar', '1 teaspoon ground cinnamon']","Preheat oven to 425 degrees F (220 degrees C).
In a large bowl, combine peaches, 1/4 cup white sugar, 1/4 cup brown sugar, 1/4 teaspoon cinnamon, nutmeg, lemon juice, and cornstarch. Toss to coat evenly, and pour into a 2 quart baking dish. Bake in preheated oven for 10 minutes.
Meanwhile, in a large bowl, combine flour, 1/4 cup white sugar, 1/4 cup brown sugar, baking powder, and salt. Blend in butter with your fingertips, or a pastry blender, until mixture resembles coarse meal. Stir in water until just combined.
Remove peaches from oven, and drop spoonfuls of topping over them. Sprinkle entire cobbler with the sugar and cinnamon mixture. Bake until topping is golden, about 30 minutes.
",https://images.media-allrecipes.com/images/63088.jpg?width=170&height=96
Frugal Fried Green Tomatoes,40,"['2 tablespoons vegetable oil', '1/2 cup cornmeal, or as needed', '6 green tomatoes, cored and cut into 1/16-inch slices', 'salt and ground black pepper to taste']","Heat vegetable oil in a skillet over medium heat.
Place cornmeal in a bowl; dip and coat each tomato slice until thoroughly coated.
Place coated tomato slices side by side in the hot oil; fry until coating is browned and crusty, 1 to 2 minutes per side. Remove with a slotted spoon and transfer to a paper towel-lined plate to drain. Season with salt and black pepper. Repeat with remaining tomato slices.
",https://images.media-allrecipes.com/userphotos/250x250/908060.jpg
Cajun Crab Cakes (No Breadcrumbs),90,"['For the Crab Cakes:', '2 tablespoons salted butter', '1/2 onion, finely chopped', '2 stalks celery, finely chopped', '1/2 large red bell pepper, finely chopped', '1 bunch green onions (green portion only), chopped', '1/2 large carrot, finely chopped', '3 cloves garlic, minced', '1 tablespoon parsley flakes', ""2 teaspoons Creole seasoning (such as Tony Chachere's®)"", '2 teaspoons dried basil', '2 teaspoons ground black pepper', '1 teaspoon dried dill weed', '1/2 teaspoon oregano', '1/2 teaspoon dried thyme', '2 large eggs, beaten', '1 pound lump crabmeat, picked free of shell', '9 buttery crackers (such as Keebler Club® crackers), crushed', '3 tablespoons vegetable oil', 'For the Spicy Cajun Dipping Sauce:', '1 cup mayonnaise', '1 tablespoon chile-garlic sauce (such as Sriracha®)', ""2 teaspoons Creole seasoning (such as Tony Chachere's®)"", '2 teaspoons parsley flakes', '1 teaspoon paprika']","Melt butter in a large, heavy skillet over medium heat. Stir in onion; cook and stir until the onion has softened and turned translucent, about 5 minutes.
Stir in the celery, bell pepper, green onion, carrot, and garlic. Continue to cook and stir until vegetables are tender, about 10 minutes more.
Season with 1 tablespoon parsley flakes, 2 teaspoons Creole seasoning, basil, pepper, dill weed, oregano, and thyme. Cook and stir until fragrant, 5 minutes more.
Transfer cooked vegetables to a large bowl; allow to cool for about 10 minutes. Set skillet aside for later use.
Stir the beaten eggs into the vegetables. Mix in the crabmeat and cracker crumbs with your hands, making sure not to break up the chunks of crab too much.
Shape the crab mixture into 12 small cakes.
Heat vegetable oil in the skillet over medium high heat.
Pan-fry the crab cakes in batches until golden brown on each side, about 3 minutes.
To make dipping sauce: Whisk together the mayonnaise, chile-garlic sauce, 2 teaspoon Creole seasoning, 2 teaspoon parsley flakes, and paprika.
",https://images.media-allrecipes.com/userphotos/250x250/1023628.jpg
Blackened Catfish and Spicy Rice,30,"['1 cup white rice', '2 cups water', '1 teaspoon Cajun seasoning', '1/2 teaspoon hot pepper sauce', '1 teaspoon ground thyme', '1 teaspoon ground black pepper', '1 teaspoon ground cayenne pepper', '1 teaspoon salt', '1/2 teaspoon garlic powder', '1/2 teaspoon onion powder', '1/2 teaspoon paprika', '1/2 teaspoon dried dill weed', '1/4 teaspoon lemon pepper', '2 (8 ounce) fillets catfish', '1/2 cup butter, melted', '1 teaspoon lemon juice, or to taste']","Bring the rice, water, Cajun seasoning, and hot pepper sauce to a boil in a saucepan. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes.
While rice is cooking, mix thyme, black pepper, cayenne pepper, salt, garlic powder, onion powder, paprika, dill weed, and lemon pepper in a bowl until well blended. Brush catfish fillets with butter and sprinkle with seasoning mixture other both sides.
Heat any remaining melted butter in a large skillet over medium-high heat; pan-fry seasoned catfish in butter until fish is easily flaked with a fork, 4 to 5 minutes per side.
Serve catfish over a plate of seasoned rice. Pour leftover butter from the skillet over fish and sprinkle with lemon juice.
",https://images.media-allrecipes.com/userphotos/250x250/866245.jpg
Easy Southern Fried Green Tomatoes,25,"['waxed paper', '2 large eggs', '2 tablespoons water', '1 cup all-purpose flour', '1 cup yellow cornmeal', 'sea salt to taste', 'freshly ground black pepper to taste', '2 pounds green tomatoes, sliced', '1 cup canola oil for frying, or as needed']","Line a baking sheet with waxed paper.
Beat eggs and water in a shallow bowl. Place flour and cornmeal in 2 separate shallow bowls. Season cornmeal with salt and pepper.
Dip each tomato slice into flour, then dip into egg mixture. Press tomato into cornmeal mixture, shaking off excess. Transfer tomato to prepared baking sheet. Repeat with remaining tomato slices, arranging tomatoes in a single layer.
Heat about 1/4 inch canola oil in a large skillet over medium heat until oil begins to shimmer. Fry tomatoes in batches until golden and crisp, 3 to 4 minutes per side. Drain on paper towel-lined plates. Repeat with remaining tomatoes.
",https://images.media-allrecipes.com/userphotos/250x250/1058985.jpg
North Carolina Pulled Pork,555,"['2 pounds pork shoulder roast', 'salt and ground black pepper to taste', '1/2 cup ketchup', '1/2 cup brown sugar', '1/3 cup red wine vinegar']","Preheat slow cooker on Low for 15 minutes.
Season pork shoulder with salt and pepper; place pork in preheated slow cooker. Mix ketchup, brown sugar, and vinegar in a bowl; pour over pork.
Cook on Low for 8 hours. Transfer pork to a large platter and slice into 3 to 4 pieces. Shred meat with 2 forks and return to slow cooker. Continue to cook for 1 hour.
",https://images.media-allrecipes.com/userphotos/250x250/1367751.jpg
Carolina Mustard Sauce #1,0,"['1 3/4 cups prepared yellow mustard', '1 1/8 cups honey', '2/3 cup cider vinegar', '1/4 cup ketchup', '3 tablespoons brown sugar', '1 teaspoon Worcestershire sauce', '1 teaspoon hot pepper sauce (such as Tabasco®)']","Stir mustard, honey, vinegar, ketchup, brown sugar, Worcestershire sauce, and hot pepper sauce together in a non-reactive bowl; pour into jars and seal tightly.
Refrigerate sauce to let the flavors blend before using, at least 24 hours.
",https://images.media-allrecipes.com/userphotos/250x250/1999031.jpg
Key West Shrimp Boil with Key Lime Mustard Sauce,142,"['Key Lime Mustard Sauce:', '1 cup mayonnaise', '1/2 cup lime juice', '3 tablespoons Dijon mustard', '1 teaspoon white sugar', '2 dashes hot pepper sauce (such as Tabasco®), or to taste', 'salt and ground black pepper to taste', 'Key West Shrimp Boil:', '2 (12 fluid ounce) cans or bottles beer', '1 lemon, juiced', '2 tablespoons seafood seasoning (such as Old Bay®)', '12 dashes hot pepper sauce (such as Tabasco®), or to taste', '1 tablespoon chopped garlic', '1/2 teaspoon cayenne pepper', '1/2 teaspoon ground black pepper', '3 pounds raw shrimp, or to taste']","Stir mayonnaise, lime juice, Dijon mustard, sugar, and hot pepper sauce together in a bowl until smooth; season with salt and pepper.
Cover bowl with plastic wrap and refrigerate mustard sauce for at least 2 hours.
Mix beer, lemon juice, seafood seasoning, hot pepper sauce, garlic, cayenne pepper, and black pepper together in a saucepan; bring to a boil and add shrimp. Cook shrimp just until they are bright pink on the outside and the meat is no longer transparent in the center, about 2 minutes; drain immediately.
",https://images.media-allrecipes.com/userphotos/250x250/2277524.jpg
Kentucky Biscuits,30,"['2 cups all-purpose flour', '2 1/2 teaspoons baking powder', '1/2 teaspoon baking soda', '1 dash salt', '1 tablespoon white sugar', '1/2 cup butter', '3/4 cup buttermilk']","Preheat oven to 400 degrees F (200 degrees C).
In a bowl, mix the flour, baking powder, baking soda, salt, and sugar. Cut in 1/2 cup butter until the mixture resembles coarse crumbs. Mix in the buttermilk. Turn out onto a lightly floured surface, and knead 2 minutes. Transfer to an ungreased baking sheet, roll into a 6x6 inch square, and cut into 12 even sections. Do not separate.
Bake 15 minutes in the preheated oven, until a knife inserted in the center of the square comes out clean. Separate into biscuits, and serve hot.
",https://images.media-allrecipes.com/userphotos/250x250/145630.jpg
